source,freq,year,quarter,type_id,is_provisional,n,value_kchf,value_chf,geo_id
T_05_05_1_1_01,Q,2011,3,house_existing,0,133.0,304686.0,304686000.0,0000
T_05_05_1_1_01,Q,2011,3,house_new,0,16.0,75872.0,75872000.0,0000
T_05_05_1_1_01,Q,2011,3,land,0,40.0,11693.0,11693000.0,0000
T_05_05_1_1_01,Q,2011,3,mixed,0,12.0,81260.0,81260000.0,0000
T_05_05_1_1_01,Q,2011,3,multi_unit,0,22.0,80949.0,80949000.0,0000
T_05_05_1_1_01,Q,2011,3,ppe,0,233.0,295469.0,295469000.0,0000
T_05_05_1_1_01,Q,2011,3,ppe_existing,0,146.0,201961.0,201961000.0,0000
T_05_05_1_1_01,Q,2011,3,ppe_new,0,87.0,93508.0,93508000.0,0000
T_05_05_1_1_01,Q,2011,4,commercial,0,16.0,214843.0,214843000.0,0000
T_05_05_1_1_01,Q,2011,4,house,0,175.0,481278.0,481278000.0,0000
T_05_05_1_1_01,Q,2011,4,house_existing,0,146.0,424621.0,424621000.0,0000
T_05_05_1_1_01,Q,2011,4,house_new,0,29.0,56657.0,56657000.0,0000
T_05_05_1_1_01,Q,2011,4,land,0,51.0,41746.0,41746000.0,0000
T_05_05_1_1_01,Q,2011,4,mixed,0,15.0,131474.0,131474000.0,0000
T_05_05_1_1_01,Q,2011,4,multi_unit,0,17.0,80476.0,80476000.0,0000
T_05_05_1_1_01,Q,2011,4,ppe,0,248.0,324422.0,324422000.0,0000
T_05_05_1_1_01,Q,2011,4,ppe_existing,0,185.0,231833.0,231833000.0,0000
T_05_05_1_1_01,Q,2011,4,ppe_new,0,63.0,92589.0,92589000.0,0000
T_05_05_1_1_01,Q,2012,1,commercial,0,12.0,99011.0,99011000.0,0000
T_05_05_1_1_01,Q,2012,1,house,0,88.0,263970.0,263970000.0,0000
T_05_05_1_1_01,Q,2012,1,house_existing,0,82.0,230245.0,230245000.0,0000
T_05_05_1_1_01,Q,2012,1,house_new,0,6.0,33725.0,33725000.0,0000
T_05_05_1_1_01,Q,2012,1,land,0,40.0,15890.0,15890000.0,0000
T_05_05_1_1_01,Q,2012,1,mixed,0,8.0,31435.0,31435000.0,0000
T_05_05_1_1_01,Q,2012,1,multi_unit,0,18.0,92400.0,92400000.0,0000
T_05_05_1_1_01,Q,2012,1,ppe,0,239.0,366502.0,366502000.0,0000
T_05_05_1_1_01,Q,2012,1,ppe_existing,0,143.0,225561.0,225561000.0,0000
T_05_05_1_1_01,Q,2012,1,ppe_new,0,96.0,140941.0,140941000.0,0000
T_05_05_1_1_01,Q,2012,2,commercial,0,12.0,156959.0,156959000.0,0000
T_05_05_1_1_01,Q,2012,2,house,0,134.0,334713.0,334713000.0,0000
T_05_05_1_1_01,Q,2012,2,house_existing,0,113.0,300160.0,300160000.0,0000
T_05_05_1_1_01,Q,2012,2,house_new,0,21.0,34553.0,34553000.0,0000
T_05_05_1_1_01,Q,2012,2,land,0,26.0,25707.0,25707000.0,0000
T_05_05_1_1_01,Q,2012,2,mixed,0,12.0,90234.0,90234000.0,0000
T_05_05_1_1_01,Q,2012,2,multi_unit,0,27.0,115983.0,115983000.0,0000
T_05_05_1_1_01,Q,2012,2,ppe,0,345.0,424964.0,424964000.0,0000
T_05_05_1_1_01,Q,2012,2,ppe_existing,0,173.0,234853.0,234853000.0,0000
T_05_05_1_1_01,Q,2012,2,ppe_new,0,172.0,190111.0,190111000.0,0000
T_05_05_1_1_01,Q,2012,3,commercial,0,16.0,255899.0,255899000.0,0000
T_05_05_1_1_01,Q,2012,3,house,0,111.0,285614.0,285614000.0,0000
T_05_05_1_1_01,Q,2012,3,house_existing,0,101.0,262586.0,262586000.0,0000
T_05_05_1_1_01,Q,2012,3,house_new,0,10.0,23028.0,23028000.0,0000
T_05_05_1_1_01,Q,2012,3,land,0,20.0,11505.0,11505000.0,0000
T_05_05_1_1_01,Q,2012,3,mixed,0,11.0,74265.0,74265000.0,0000
T_05_05_1_1_01,Q,2012,3,multi_unit,0,20.0,175542.0,175542000.0,0000
T_05_05_1_1_01,Q,2012,3,ppe,0,223.0,301946.0,301946000.0,0000
T_05_05_1_1_01,Q,2012,3,ppe_existing,0,142.0,209394.0,209394000.0,0000
T_05_05_1_1_01,Q,2012,3,ppe_new,0,81.0,92552.0,92552000.0,0000
T_05_05_1_1_01,Q,2012,4,commercial,0,19.0,279179.0,279179000.0,0000
T_05_05_1_1_01,Q,2012,4,house,0,143.0,411691.0,411691000.0,0000
T_05_05_1_1_01,Q,2012,4,house_existing,0,122.0,358772.0,358772000.0,0000
T_05_05_1_1_01,Q,2012,4,house_new,0,21.0,52919.0,52919000.0,0000
T_05_05_1_1_01,Q,2012,4,land,0,37.0,36492.0,36492000.0,0000
T_05_05_1_1_01,Q,2012,4,mixed,0,17.0,109119.0,109119000.0,0000
T_05_05_1_1_01,Q,2012,4,multi_unit,0,30.0,162341.0,162341000.0,0000
T_05_05_1_1_01,Q,2012,4,ppe,0,276.0,342042.0,342042000.0,0000
