source,freq,year,quarter,geo_label,type_id,condition,market,is_provisional,n,unit,geo_id,p25,median,p75
T_05_05_1_1_02,Q,2026,2,Canton,ppe_existing,existing,libre,1,156.0,CHF_per_object,0000,983000.0,1397000.0,1898000.0
T_05_05_1_1_02,Q,2026,3,Canton,ppe_existing,existing,libre,1,,CHF_per_object,0000,,,
T_05_05_1_1_02,Q,2026,4,Canton,ppe_existing,existing,libre,1,,CHF_per_object,0000,,,
T_05_05_1_4_03,Y,2024,,Bernex,ppe,new,libre,0,15.0,CHF_per_m2,6607,10706.0,11266.0,11901.0
T_05_05_1_4_03,Y,2024,,Bernex,ppe,existing,libre,0,38.0,CHF_per_m2,6607,7623.0,8704.0,9655.0
T_05_05_1_4_03,Y,2024,,Bernex,ppe,all,libre,0,53.0,CHF_per_m2,6607,8112.0,9602.0,10959.0
T_05_05_1_4_03,Y,2024,,Bernex,ppe,all,zd,0,,CHF_per_m2,6607,,,
T_05_05_1_4_03,Y,2024,,Bernex,ppe,all,all,0,53.0,CHF_per_m2,6607,8112.0,9602.0,10959.0
T_05_05_1_4_03,Y,2024,,Carouge,ppe,new,libre,0,8.0,CHF_per_m2,6608,,,
T_05_05_1_4_03,Y,2024,,Carouge,ppe,existing,libre,0,20.0,CHF_per_m2,6608,11049.0,12440.0,13981.0
T_05_05_1_4_03,Y,2024,,Carouge,ppe,all,libre,0,28.0,CHF_per_m2,6608,11259.0,12718.0,14028.0
T_05_05_1_4_03,Y,2024,,Carouge,ppe,all,zd,0,16.0,CHF_per_m2,6608,7236.0,7606.0,8491.0
T_05_05_1_4_03,Y,2024,,Carouge,ppe,all,all,0,44.0,CHF_per_m2,6608,7796.0,11141.0,13104.0
T_05_05_1_4_03,Y,2024,,Chêne-Bougeries,ppe,new,libre,0,5.0,CHF_per_m2,6612,,,
T_05_05_1_4_03,Y,2024,,Chêne-Bougeries,ppe,existing,libre,0,36.0,CHF_per_m2,6612,10463.0,12013.0,13520.0
T_05_05_1_4_03,Y,2024,,Chêne-Bougeries,ppe,all,libre,0,41.0,CHF_per_m2,6612,10515.0,12376.0,14813.0
T_05_05_1_4_03,Y,2024,,Chêne-Bougeries,ppe,all,zd,0,35.0,CHF_per_m2,6612,7108.0,7495.0,7898.0
T_05_05_1_4_03,Y,2024,,Chêne-Bougeries,ppe,all,all,0,76.0,CHF_per_m2,6612,7504.0,9197.0,12821.0
T_05_05_1_4_03,Y,2024,,Cologny,ppe,new,libre,0,12.0,CHF_per_m2,6617,14324.0,15647.0,16460.0
T_05_05_1_4_03,Y,2024,,Cologny,ppe,existing,libre,0,43.0,CHF_per_m2,6617,11569.0,12279.0,14136.0
T_05_05_1_4_03,Y,2024,,Cologny,ppe,all,libre,0,55.0,CHF_per_m2,6617,11808.0,13436.0,15539.0
T_05_05_1_4_03,Y,2024,,Cologny,ppe,all,zd,0,,CHF_per_m2,6617,,,
T_05_05_1_4_03,Y,2024,,Cologny,ppe,all,all,0,55.0,CHF_per_m2,6617,11808.0,13436.0,15539.0
T_05_05_1_4_03,Y,2024,,Genève,ppe,new,libre,0,27.0,CHF_per_m2,6621,12899.0,14789.0,17585.0
T_05_05_1_4_03,Y,2024,,Genève,ppe,existing,libre,0,330.0,CHF_per_m2,6621,11200.0,12597.0,14545.0
T_05_05_1_4_03,Y,2024,,Genève,ppe,all,libre,0,357.0,CHF_per_m2,6621,11311.0,12796.0,14718.0
